,doc_id,Untagged,ActorsAbstractions,ActorsPeople,SignpostingMetadiscourse,OrganizationNarrative,OrganizationReasoning,SentimentNegative,SentimentPositive,SignpostingAcademicWritingMoves,ConfidenceHedged,ActorsPublicEntities,PlanningStrategy,StanceEmphatic,ConfidenceHigh,PlanningFuture,ActorsFirstPerson,CitationAuthority,StanceModerated,CitationNeutral,CitationControversy
0,ARTS_S0039368115001612,3726,696,289,164,112,152,126,98,40,61,52,11,44,64,14,19,17,16,26,32
1,ARTS_S0039368116300449,4719,1154,265,168,159,170,94,252,60,94,169,42,49,58,17,29,6,11,12,5
2,ARTS_S0039368117300390,7766,999,476,343,237,270,266,194,29,156,73,35,88,92,120,34,26,37,29,24
3,ARTS_S0039368117300717,4167,732,220,98,130,104,186,98,30,70,41,29,24,35,25,30,11,9,4,14
4,ARTS_S0039368118300190,5521,1060,222,241,192,221,204,323,60,159,152,46,52,54,152,11,7,23,19,17
5,ARTS_S0160932715300235,1530,247,111,51,66,51,142,37,23,18,29,3,7,14,4,7,2,6,2,10
6,ARTS_S0160932715300284,3814,769,332,142,176,86,295,122,22,26,147,17,36,34,20,7,13,17,11,6
7,ARTS_S0160932716300035,6195,738,492,185,215,96,119,160,12,56,147,58,55,51,36,14,17,21,15,0
8,ARTS_S0160932716300308,3042,431,85,83,116,132,50,50,18,39,26,29,26,20,22,7,10,15,9,1
9,ARTS_S0160932718300012,2663,409,136,111,134,51,90,117,12,27,218,35,22,17,28,6,6,4,10,7
10,ARTS_S1369848613001349,5206,1017,478,145,246,117,278,228,28,46,180,53,32,35,21,9,10,11,5,24
11,ARTS_S1369848613001507,2311,524,71,122,61,191,162,64,20,45,28,28,29,26,10,21,6,3,9,5
12,ARTS_S1369848613001696,5124,648,572,188,313,93,304,158,32,38,87,28,77,37,25,83,26,11,25,16
13,ARTS_S1369848613001763,5070,809,598,208,223,109,199,177,27,60,72,59,29,33,34,16,10,27,5,18
14,ARTS_S136984861400048X,4773,864,499,138,114,109,109,133,45,66,182,49,38,37,25,10,20,13,19,1
15,ARTS_S1369848614000867,4540,641,374,147,145,111,227,176,21,58,96,31,41,42,60,82,15,16,32,5
16,ARTS_S1369848615001132,4786,766,269,210,227,131,123,167,61,88,218,62,41,48,46,34,8,15,6,4
17,ARTS_S1369848615001284,4343,944,218,171,111,141,93,252,39,96,70,37,35,37,73,29,12,14,6,8
18,ARTS_S136984861630067X,4773,931,257,262,99,346,269,112,46,193,48,30,43,68,11,38,9,12,23,26
19,ARTS_S1369848617301814,4952,1120,382,161,193,137,108,128,37,47,156,38,37,11,25,11,13,7,4,5
20,BIOC_S0006349515006736,4345,734,79,137,81,109,93,83,36,59,28,22,16,11,10,17,13,7,2,0
21,BIOC_S0012160615002109,5333,1131,169,190,152,125,108,73,68,48,38,18,34,27,10,23,33,10,10,1
22,BIOC_S0047637415000068,2957,667,153,143,107,92,135,71,8,95,21,7,27,18,8,2,19,6,2,1
23,BIOC_S0079610715000139,1511,331,68,30,30,22,27,20,6,10,7,5,4,5,1,2,10,3,0,0
24,BIOC_S009286741930457X,8799,1424,303,278,284,213,283,171,112,69,67,38,45,42,18,28,18,22,13,2
25,BIOC_S0167488918302519,6038,1224,92,288,223,183,236,149,44,73,32,12,67,25,25,6,46,14,8,4
26,BIOC_S0168952514000559,2216,606,50,104,136,70,65,49,13,51,19,20,10,13,13,8,5,5,1,0
27,BIOC_S0378111913016995,5402,1284,163,177,146,152,88,76,60,98,24,20,43,40,34,31,24,24,7,4
28,BIOC_S089865681400312X,3518,704,66,136,99,108,53,81,63,48,23,19,24,20,43,44,21,6,4,2
29,BIOC_S0945053X1730094X,3137,625,38,88,130,106,108,93,47,40,29,15,21,12,14,15,17,9,1,1
30,BIOC_S1097276516304166,3649,651,124,113,106,82,155,97,15,33,9,15,30,9,3,17,10,5,1,1
31,BIOC_S1934590915002234,3745,680,86,107,158,135,90,71,31,36,20,15,26,11,15,10,9,12,5,2
32,BIOC_S2211124715012462,3712,719,156,119,116,98,160,70,54,64,35,13,74,24,15,23,11,11,5,1
33,BIOC_S2212877815000770,2633,561,39,64,108,47,74,55,45,22,29,6,6,3,9,11,13,1,0,1
34,BIOC_S2212877818304861,3647,707,78,106,106,77,72,103,66,58,51,36,14,7,10,15,4,7,1,0
35,BIOC_S2212877819301309,2085,462,73,72,43,74,30,40,51,9,13,7,16,6,1,32,11,6,5,0
36,BIOC_S2213671118300341,3079,527,93,84,98,69,68,80,24,31,15,4,11,14,9,19,13,4,4,0
37,BIOC_S2352396414000024,2901,628,137,89,118,62,88,46,46,33,36,17,21,14,11,13,18,4,6,0
38,BIOC_S2352396415000997,3295,589,99,67,117,81,107,60,68,18,32,21,15,6,7,14,10,7,4,0
39,BIOC_S2352396417302906,2419,437,244,79,50,51,137,45,40,12,27,10,17,10,0,8,10,8,3,0
40,BUSI_S0019850116303431,3767,973,488,92,101,91,88,207,47,81,47,57,26,13,13,40,10,5,13,1
41,BUSI_S0148296315003240,4027,613,362,162,153,117,105,142,19,79,36,22,30,32,14,22,9,6,11,5
42,BUSI_S0148296315003926,2861,812,125,116,59,173,110,83,171,50,17,114,19,35,6,3,3,14,7,2
43,BUSI_S0148296316302879,4117,881,514,117,128,120,159,230,63,57,52,24,36,18,17,26,34,4,8,4
44,BUSI_S0148296316303058,4516,838,476,161,126,170,99,247,106,122,179,46,35,45,44,20,19,10,8,13
45,BUSI_S0148296317303752,5072,798,670,152,91,172,57,221,75,109,59,46,39,53,224,16,18,7,16,4
46,BUSI_S0148296318304788,3342,693,391,108,159,190,61,186,56,59,127,56,41,24,19,23,10,8,4,1
47,BUSI_S0148296318305319,5053,1210,440,210,132,157,56,136,36,118,42,84,43,22,49,25,4,16,14,3
48,BUSI_S0148296319302024,4782,857,428,139,206,205,111,284,84,93,70,23,59,42,21,27,20,14,9,2
49,BUSI_S0148296319302188,3548,872,308,149,77,237,92,319,89,72,69,61,23,16,7,24,24,8,2,1
50,BUSI_S0167811619300473,4678,1170,265,173,122,224,130,157,21,79,31,103,34,58,40,58,10,14,7,1
51,BUSI_S0169207014001307,3634,714,105,143,104,190,107,104,124,70,27,38,39,34,105,36,19,23,3,1
52,BUSI_S0263786317304064,5444,900,255,165,473,172,78,311,70,36,130,91,37,26,34,33,10,8,14,11
53,BUSI_S0278431916300044,1391,257,100,48,54,69,12,35,50,15,7,15,6,6,7,0,4,9,3,1
54,BUSI_S0890838917300136,3044,770,112,171,75,143,120,112,52,96,36,24,51,28,15,4,9,16,6,7
55,BUSI_S096969891830167X,3299,491,264,146,172,100,173,91,74,59,20,35,42,21,10,66,13,9,14,1
56,BUSI_S2211973619300558,5103,1014,246,152,254,146,105,326,62,100,282,59,43,21,38,43,14,7,21,0
57,BUSI_S2211973619300637,3668,591,455,140,132,154,317,198,57,50,92,26,32,31,21,38,8,14,13,2
58,BUSI_S2213078019300234,5708,1076,320,255,228,141,142,195,107,75,59,46,59,45,26,42,15,18,24,2
59,BUSI_S2352673417300835,1744,300,251,69,66,73,49,102,29,55,22,24,9,13,8,7,8,2,4,1
60,CENG_S0032591014005245,3602,463,74,92,144,161,88,55,56,23,17,21,29,13,14,5,20,7,0,0
61,CENG_S0032591017301511,4410,863,117,133,84,166,133,149,109,85,19,13,27,33,48,2,25,6,6,1
62,CENG_S0032591018302523,2339,531,18,97,44,92,53,57,35,37,8,28,23,8,9,0,10,5,1,5
63,CENG_S0032591018304455,3025,460,55,75,119,111,86,41,36,25,13,33,22,13,4,0,2,5,3,0
64,CENG_S0032591018305278,2939,430,55,69,73,88,61,31,55,24,14,27,22,8,5,8,11,5,2,1
65,CENG_S0032591019306059,3736,785,105,100,111,96,64,91,78,28,26,67,24,5,33,4,5,16,2,1
66,CENG_S0032591019310253,2718,435,87,50,56,78,97,42,48,28,18,18,17,10,1,2,7,7,8,0
67,CENG_S0032591019311283,3632,466,35,91,92,98,52,38,38,25,12,38,29,11,19,14,6,8,2,0
68,CENG_S0143720814003842,2128,284,23,43,40,54,33,38,20,18,6,6,6,8,5,2,6,1,2,0
69,CENG_S0143720817316856,739,135,7,18,16,27,48,12,29,6,5,2,2,3,3,0,2,2,0,0
70,CENG_S0926860X16304203,2908,461,67,68,102,72,49,58,42,29,13,14,13,12,5,2,7,6,5,6
71,CENG_S0926860X17300893,2655,486,88,97,109,90,67,88,36,38,16,11,13,18,5,6,13,7,5,0
72,CENG_S0926860X17303460,4020,562,55,72,112,120,68,85,48,30,20,19,30,6,6,7,19,8,4,0
73,CENG_S0926860X17304738,3347,489,136,78,163,116,45,73,73,31,13,43,17,15,15,8,21,6,3,1
74,CENG_S0926860X17305690,2598,444,92,57,60,70,91,66,34,38,9,13,8,12,2,5,15,10,5,0
75,CENG_S0926860X18300632,3118,439,126,105,109,124,59,86,78,24,11,14,20,10,10,6,11,6,2,0
76,CENG_S0926860X18305532,5074,985,81,247,124,253,109,157,70,70,21,67,45,26,21,74,7,25,5,0
77,CENG_S0926860X19301851,3004,507,101,79,66,121,83,57,53,20,15,20,18,8,7,13,11,11,3,1
78,CENG_S2451904917302731,2248,477,37,91,46,98,62,73,21,38,15,28,12,7,17,1,10,3,3,1
79,CENG_S2451904917304833,2920,395,72,60,87,64,90,108,39,40,14,21,19,19,14,0,8,4,0,4
80,CHEM_S0022286016304136,698,151,16,19,12,14,15,9,12,5,5,5,2,2,0,1,1,1,0,0
81,CHEM_S0026265X15003331,3297,478,75,84,64,95,33,45,60,25,24,7,16,10,6,3,16,19,3,0
82,CHEM_S0039914016306634,2985,529,128,56,97,61,46,64,66,13,41,8,10,7,5,11,14,4,1,1
83,CHEM_S003991401731024X,3820,573,104,84,97,56,80,77,75,17,29,63,5,9,11,4,10,9,0,1
84,CHEM_S0039914018312529,2917,553,55,77,135,92,43,47,57,32,24,1,8,16,10,2,12,0,12,3
85,CHEM_S0039914019310239,4030,525,70,110,138,137,71,110,117,36,22,13,13,18,10,1,9,13,6,0
86,CHEM_S0165993616302199,2245,533,33,117,53,93,72,69,53,38,20,19,13,6,10,3,8,6,1,0
87,CHEM_S0165993618306356,2809,518,43,120,83,121,54,59,90,71,22,13,13,18,8,4,7,10,3,1
88,CHEM_S1388248116303113,1264,249,34,28,34,37,31,28,16,18,13,6,13,2,0,0,5,2,0,0
89,CHEM_S1388248118302935,1350,262,28,30,27,21,39,30,24,11,11,5,3,3,1,2,5,2,2,1
90,CHEM_S1388248118303084,1694,334,25,69,34,87,51,42,14,23,12,15,20,11,14,2,3,4,5,2
91,CHEM_S1388248119300360,2493,449,54,48,81,59,19,88,35,35,6,4,15,15,2,2,13,7,0,0
92,CHEM_S1388248119300554,1221,198,12,21,63,39,26,20,19,18,10,6,7,3,2,1,4,2,1,0
93,CHEM_S1388248119302267,1938,233,46,51,29,30,36,26,24,22,2,13,4,9,5,1,2,4,0,0
94,CHEM_S1388248119302796,1510,280,45,52,20,60,40,32,23,22,19,14,21,6,3,1,8,6,2,0
95,CHEM_S1388248119303078,2094,303,25,55,35,54,22,27,41,10,8,11,4,2,3,0,10,3,2,0
96,CHEM_S2376999816300137,2299,451,38,61,56,65,64,85,55,18,26,4,15,5,7,7,6,8,4,0
97,CHEM_S2376999816300204,3727,614,11,147,138,97,193,117,69,49,31,68,30,21,28,13,8,21,7,0
98,CHEM_S2405830019302447,1479,234,5,47,48,39,40,36,18,17,9,6,6,8,4,1,4,2,2,0
99,CHEM_S2405830019303842,768,180,19,18,28,15,24,17,18,7,10,2,5,2,2,0,0,1,1,0
100,COMP_S0031320316301224,3555,820,54,137,83,123,70,85,60,49,77,31,28,32,27,28,14,27,5,1
101,COMP_S0031320319301608,5378,1053,66,253,237,203,242,185,115,104,34,57,65,49,17,36,26,46,15,0
102,COMP_S0164121215000151,8605,1600,501,399,232,517,138,210,322,94,57,70,86,43,4,96,28,24,15,17
103,COMP_S0164121215002010,3413,852,300,141,96,183,38,68,50,46,184,51,64,11,11,56,20,35,10,3
104,COMP_S0164121219302262,6816,1388,286,224,232,184,155,226,100,99,181,82,27,28,38,16,23,9,13,9
105,COMP_S0167865515001531,1560,329,23,66,21,64,69,52,123,29,31,11,20,15,5,7,3,8,2,2
106,COMP_S0167865518305099,938,200,9,24,21,35,23,34,40,11,4,2,12,11,4,14,3,1,2,0
107,COMP_S0306437915000459,7768,1426,91,390,368,299,405,289,231,161,463,85,71,72,61,30,10,20,19,2
108,COMP_S1077314215002040,5446,1017,135,189,205,245,159,139,139,94,32,46,35,39,36,95,16,18,11,3
109,COMP_S1383762119304643,3567,823,233,93,121,86,68,98,62,54,68,49,12,26,27,22,1,12,1,3
110,COMP_S1389128617300464,6947,1661,428,249,243,206,200,219,90,99,84,89,67,39,51,37,52,18,15,2
111,COMP_S1389128618300677,5155,1331,131,210,172,366,128,184,60,69,78,32,39,64,22,81,19,28,8,0
112,COMP_S1570870518300763,5436,1564,175,233,190,248,155,82,60,58,7,51,38,39,70,3,5,29,1,3
113,COMP_S1574119217305382,1473,386,51,54,54,32,30,69,51,19,35,21,9,3,21,3,0,4,3,0
114,COMP_S2352711016300024,951,143,22,32,18,26,8,36,34,9,25,5,5,3,3,1,2,2,0,1
115,COMP_S2352711017300080,754,108,12,27,6,30,12,29,8,7,15,13,11,8,1,9,0,3,0,0
116,COMP_S2352711017300304,1417,380,71,43,48,67,36,57,32,33,26,17,18,8,11,6,2,6,4,0
117,COMP_S2352711018300797,2332,632,23,91,76,68,44,63,45,27,45,20,11,6,6,3,4,9,2,0
118,COMP_S2352711018300980,1937,431,88,53,74,40,19,43,77,30,36,25,11,15,19,3,5,6,1,0
119,COMP_S2352711018302164,1308,342,46,42,52,48,40,33,36,16,10,26,19,8,4,9,5,1,2,0
120,DECI_S0167668717304262,1780,286,85,67,102,75,30,46,45,29,59,12,15,15,127,15,6,3,2,1
121,DECI_S0965856414001189,3817,818,86,95,141,169,87,155,69,93,26,41,18,32,22,27,12,34,32,10
122,DECI_S0965856415301865,3687,491,183,150,204,112,48,68,61,65,34,34,28,15,21,21,28,12,11,1
123,DECI_S0965856416302208,5004,696,419,220,344,179,139,108,107,94,91,43,32,37,67,2,36,14,10,0
124,DECI_S0965856416304888,4945,789,555,177,265,202,128,205,98,66,65,96,44,41,24,36,14,8,7,0
125,DECI_S0965856416307170,4571,1154,215,192,231,261,132,109,139,98,50,67,30,26,57,52,17,28,4,3
126,DECI_S096585641730352X,4856,962,208,239,324,178,91,78,180,129,27,60,33,30,39,12,31,35,7,2
127,DECI_S0965856417304731,4329,1101,219,183,79,145,168,89,80,88,66,37,32,21,15,37,24,21,3,2
128,DECI_S0965856417314866,3701,725,134,141,160,108,115,77,43,70,39,39,29,10,12,23,5,7,9,0
129,DECI_S0965856418307134,6216,1099,314,251,138,148,125,297,35,169,115,130,55,37,48,25,5,16,10,4
130,DECI_S0965856418315751,7698,919,698,253,231,200,300,404,83,180,82,92,102,63,48,117,18,30,28,5
131,DECI_S0965856419306858,4157,682,225,188,107,171,81,115,75,66,31,36,45,29,13,18,16,17,3,0
132,DECI_S2589750019300573,2196,402,46,115,87,119,289,154,64,41,51,28,31,15,6,7,6,6,4,0
133,DECI_S2589750019300822,2992,540,150,98,324,125,197,115,41,46,42,34,22,7,19,36,11,14,5,0
134,DECI_S2589750019300883,2676,605,79,118,143,164,212,94,64,24,17,25,28,4,10,25,10,10,0,0
135,DECI_S2589750019301086,3485,830,104,127,77,138,105,147,58,52,50,34,18,16,30,17,3,8,5,2
136,DECI_S2589750019301281,3759,725,228,118,260,145,245,121,74,47,47,79,20,17,18,12,6,13,2,0
137,DECI_S258975001930130X,2489,623,168,107,136,92,89,125,34,29,44,48,14,4,12,8,2,11,0,1
138,DECI_S2589750019301591,2830,450,109,86,169,65,85,48,70,32,35,31,18,9,25,24,2,6,1,0
139,DECI_S2590198219300144,3540,538,215,132,98,102,96,170,72,105,50,50,22,24,31,7,9,17,2,5
140,ECON_S0014292117301010,4509,671,300,197,72,186,129,145,55,86,167,46,28,15,22,69,31,18,4,4
141,ECON_S0047272717300361,4596,1010,182,195,179,205,324,167,27,114,105,23,30,34,24,88,26,20,13,2
142,ECON_S0047272717301299,5345,1147,312,290,154,389,199,232,86,113,83,54,68,42,27,106,20,55,7,4
143,ECON_S0047272717302086,6176,1267,189,301,184,378,348,147,67,162,179,94,88,56,42,136,17,40,10,7
144,ECON_S0147596719300629,3431,626,55,102,73,104,63,105,51,40,40,8,16,14,9,45,6,32,3,2
145,ECON_S0161893819300882,3125,781,87,123,51,196,90,80,22,61,86,38,35,15,9,37,15,44,4,3
146,ECON_S0164070415000208,1522,382,109,55,73,61,76,18,34,28,47,2,9,7,8,28,13,21,4,8
147,ECON_S0165176516302944,853,231,38,36,19,38,60,21,13,14,14,4,16,5,16,8,5,3,0,0
148,ECON_S0165176516304190,684,214,45,23,15,35,24,34,24,17,19,7,3,5,7,3,1,2,1,2
149,ECON_S0165176519303337,1398,381,110,63,33,74,37,26,24,16,42,31,10,4,3,20,10,17,2,5
150,ECON_S0261560617301833,4007,1340,101,145,102,203,170,74,104,99,37,48,32,14,11,78,29,19,6,11
151,ECON_S026499931731800X,4949,1226,155,188,153,249,136,133,39,64,58,54,62,25,28,46,23,35,10,1
152,ECON_S0378426617301711,4293,1298,177,177,173,212,293,134,65,106,65,67,36,28,38,51,51,18,10,29
153,ECON_S0928765519301186,2546,527,115,90,32,104,41,43,21,26,40,10,49,8,6,10,22,13,12,1
154,ECON_S1042443115001043,7049,1822,310,261,225,305,140,187,92,98,82,68,75,56,33,32,72,10,8,28
155,ECON_S1044028316300941,2331,512,153,115,186,88,116,44,28,27,62,36,23,8,13,71,3,17,4,2
156,ECON_S1057521918301650,2071,545,48,100,120,106,63,47,82,59,25,17,26,10,11,38,10,36,6,1
157,ECON_S1057521918306665,5535,1367,291,267,222,221,205,124,91,72,42,27,44,27,13,41,20,25,14,2
158,ECON_S1572308917304291,3533,697,71,131,145,141,213,66,73,51,52,25,24,23,50,40,6,17,2,4
159,ECON_S2405851319300789,3438,569,138,125,245,79,94,61,64,83,24,56,12,9,21,19,8,13,2,0
160,ENGI_S0007850616301949,9705,2073,94,387,240,271,272,171,112,212,111,102,37,42,129,2,15,36,8,0
161,ENGI_S0140700716304170,2785,524,106,68,73,85,46,76,47,31,8,37,12,10,11,0,2,8,7,2
162,ENGI_S0140700717301329,3563,672,130,101,93,127,97,56,151,49,9,6,33,42,61,1,7,20,34,5
163,ENGI_S014070071830032X,3157,669,60,111,103,126,65,103,45,39,10,24,24,9,17,2,7,1,9,1
164,ENGI_S0141029615001388,4545,878,90,115,147,123,104,92,100,49,49,22,19,18,15,4,25,27,2,0
165,ENGI_S0141029616312561,2545,375,40,52,29,68,115,52,17,23,6,11,28,28,14,9,19,6,5,1
166,ENGI_S0141029617339755,2522,592,48,85,54,128,105,105,57,25,28,26,11,23,31,0,12,5,5,1
167,ENGI_S0141118716305764,3785,686,95,151,81,220,118,153,119,82,11,109,29,41,28,6,15,9,12,2
168,ENGI_S0167473016301904,1745,266,62,53,40,67,32,116,116,35,5,20,10,17,5,0,7,10,2,0
169,ENGI_S0208521618302365,2717,477,71,92,46,80,45,93,84,33,40,19,16,18,33,4,9,7,4,1
170,ENGI_S0263823117308017,2914,572,44,78,105,139,82,128,79,35,35,37,20,26,27,0,15,2,8,0
171,ENGI_S0378778816302158,6851,1836,181,302,154,196,125,319,103,139,111,121,50,45,58,11,19,13,23,3
172,ENGI_S0378778816304558,2458,595,24,61,94,74,42,89,33,43,23,43,19,16,6,2,8,8,3,1
173,ENGI_S0378778817314342,5910,1012,67,201,406,206,99,98,312,80,42,65,20,38,33,6,27,43,12,1
174,ENGI_S0378778817322612,3220,688,51,128,116,124,154,92,66,56,60,82,14,40,29,1,10,11,10,2
175,ENGI_S0378778818304146,3917,914,23,160,138,269,66,98,98,74,23,29,21,29,19,30,14,15,15,2
176,ENGI_S0378778819322285,2355,349,39,117,238,82,50,70,40,77,25,22,35,23,13,4,9,2,1,1
177,ENGI_S0951832015003567,3073,600,36,109,156,145,170,140,54,64,22,94,28,20,37,49,9,16,2,0
178,ENGI_S1110016819300274,2757,478,15,87,94,86,88,54,66,12,11,26,19,19,15,3,6,4,7,6
179,ENGI_S1270963818315372,2661,578,30,67,43,111,54,31,45,38,10,17,19,17,11,2,9,6,9,1
180,ENVI_S0043135418305566,4870,722,315,122,84,103,83,113,37,83,17,38,20,10,22,2,28,19,3,2
181,ENVI_S0043135418306274,3923,724,174,107,112,137,94,147,100,53,75,36,23,13,12,2,23,5,3,4
182,ENVI_S0043135419303367,3863,636,311,113,93,85,69,82,55,29,39,9,12,23,5,24,5,17,4,0
183,ENVI_S0048969715308111,2911,506,130,59,85,72,71,60,29,32,34,11,14,15,8,0,7,2,1,0
184,ENVI_S0048969716314632,5102,817,196,154,165,158,144,69,27,105,44,23,30,31,71,4,12,13,1,4
185,ENVI_S0048969718323489,2733,444,97,67,76,79,44,31,33,22,16,6,16,14,7,0,8,5,1,0
186,ENVI_S0048969718331322,4827,843,205,197,136,203,204,247,74,117,210,80,37,34,26,20,5,11,1,3
187,ENVI_S0048969719309064,3575,856,163,106,68,143,147,116,74,79,68,44,23,26,14,6,10,14,6,0
188,ENVI_S0048969719326385,4521,775,84,204,101,172,86,111,95,139,24,77,23,28,26,4,5,10,6,0
189,ENVI_S0160412017309005,6168,1364,197,227,115,259,208,211,147,104,106,53,28,27,30,37,24,21,9,0
190,ENVI_S0160412018306810,3392,624,193,138,160,149,157,40,64,54,77,13,11,7,13,34,14,22,1,0
191,ENVI_S0160412018313230,2213,357,144,43,73,48,54,23,42,23,26,14,4,5,9,0,6,3,4,0
192,ENVI_S0160412019306038,3665,882,123,197,75,136,162,47,29,100,67,35,23,24,21,3,13,7,12,7
193,ENVI_S0160412019313558,2262,592,33,65,77,95,61,45,39,25,36,22,13,7,1,0,4,7,11,0
194,ENVI_S0169204617303237,3375,830,213,111,74,120,75,226,92,68,26,12,28,34,6,23,6,33,0,1
195,ENVI_S0169204618307497,3786,1048,175,139,59,135,79,211,89,86,63,39,27,20,77,30,5,3,6,1
